GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van:","Margin of Error; Total: - Car, truck, or van:","Estimate; Total: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Car, truck, or van: - Drove alone","Estimate; Total: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Car, truck, or van: - Carpooled:","Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Bicycle,Margin of Error; Total: - Bicycle,Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male:,Margin of Error; Total: - Male:,"Estimate; Total: - Male: - Car, truck, or van:","Margin of Error; Total: - Male: - Car, truck, or van:","Estimate; Total: - Male: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Male: - Car, truck, or van: - Drove alone","Estimate; Total: - Male: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled:","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Male: - Public transportation (excluding taxicab):,Margin of Error; Total: - Male: - Public transportation (excluding taxicab):,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Male: - Bicycle,Margin of Error; Total: - Male: - Bicycle,Estimate; Total: - Male: - Walked,Margin of Error; Total: - Male: - Walked,"Estimate; Total: - Male: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Male: - Taxicab, motorcycle, or other means",Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female:,Margin of Error; Total: - Female:,"Estimate; Total: - Female: - Car, truck, or van:","Margin of Error; Total: - Female: - Car, truck, or van:","Estimate; Total: - Female: - Car, truck, or van: - Drove alone","Margin of Error; Total: - Female: - Car, truck, or van: - Drove alone","Estimate; Total: - Female: - Car, truck, or van: - Carpooled:","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled:","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Total: - Female: - Public transportation (excluding taxicab):,Margin of Error; Total: - Female: - Public transportation (excluding taxicab):,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Total: - Female: - Bicycle,Margin of Error; Total: - Female: - Bicycle,Estimate; Total: - Female: - Walked,Margin of Error; Total: - Female: - Walked,"Estimate; Total: - Female: - Taxicab, motorcycle, or other means","Margin of Error; Total: - Female: - Taxicab, motorcycle, or other means",Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
0500000US01069,01069,"Houston County, Alabama",43914,1272,41566,1361,38377,1357,3189,479,2289,440,471,150,429,256,319,198,319,198,0,190,0,190,0,190,0,190,61,86,163,110,1060,365,745,232,22673,830,21267,864,19701,822,1566,370,1116,295,146,72,304,242,225,192,225,192,0,190,0,190,0,190,0,190,61,86,92,82,635,333,393,173,21241,854,20299,870,18676,896,1623,273,1173,249,325,119,125,69,94,66,94,66,0,190,0,190,0,190,0,190,0,190,71,75,425,186,352,124
0500000US01073,01073,"Jefferson County, Alabama",278164,6744,261530,6869,234918,6897,26612,3768,21855,3561,3413,998,1344,575,2885,851,2885,851,0,190,0,190,0,190,0,190,323,256,4264,1251,2044,1063,7118,1765,137716,4828,127867,4746,115230,4302,12637,2460,10456,2256,1771,742,410,295,1269,555,1269,555,0,190,0,190,0,190,0,190,323,256,2601,1081,1462,810,4194,1269,140448,4083,133663,4148,119688,4499,13975,2133,11399,2052,1642,558,934,466,1616,637,1616,637,0,190,0,190,0,190,0,190,0,190,1663,725,582,401,2924,978
0500000US01089,01089,"Madison County, Alabama",158528,3743,147995,4019,137474,3887,10521,1842,9151,1642,691,386,679,423,599,375,599,375,0,190,0,190,0,190,0,190,451,428,2518,757,2509,985,4456,1399,85840,2273,79599,2760,73585,2785,6014,1367,5321,1164,248,187,445,334,366,355,366,355,0,190,0,190,0,190,0,190,451,428,1318,400,1469,723,2637,1140,72688,3183,68396,2867,63889,2563,4507,1147,3830,1032,443,294,234,264,233,226,233,226,0,190,0,190,0,190,0,190,0,190,1200,656,1040,623,1819,796
0500000US01097,01097,"Mobile County, Alabama",167388,4462,157774,4879,143837,5010,13937,2217,10131,2001,2563,883,1243,471,1371,614,1371,614,0,190,0,190,0,190,0,190,92,122,962,481,987,502,6202,1531,85291,3187,80292,3473,72255,3447,8037,1640,6446,1615,858,479,733,428,356,220,356,220,0,190,0,190,0,190,0,190,92,122,585,431,737,443,3229,1015,82097,2964,77482,3089,71582,3238,5900,1153,3685,919,1705,645,510,291,1015,548,1015,548,0,190,0,190,0,190,0,190,0,190,377,224,250,213,2973,984
0500000US02020,02020,"Anchorage Municipality, Alaska",153881,4048,135646,4342,117445,4465,18201,2607,15665,2436,1459,588,1077,413,3470,1313,3470,1313,0,149,0,149,0,149,0,149,1805,659,4457,1110,3238,865,5265,1182,80816,2680,70886,2986,62061,2976,8825,1599,7402,1516,483,365,940,384,1593,941,1593,941,0,149,0,149,0,149,0,149,1460,623,2460,957,2258,674,2159,872,73065,2749,64760,2785,55384,2822,9376,1787,8263,1659,976,531,137,166,1877,849,1877,849,0,149,0,149,0,149,0,149,345,185,1997,691,980,465,3106,853
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",50875,2510,43970,2717,37306,2997,6664,1584,5745,1465,829,671,90,111,1446,759,1446,759,0,149,0,149,0,149,0,149,543,353,1405,604,1062,488,2449,1096,28585,1477,24063,1653,20862,1871,3201,868,2896,811,215,191,90,111,659,489,659,489,0,149,0,149,0,149,0,149,446,349,839,486,801,432,1777,961,22290,1856,19907,1840,16444,1813,3463,1133,2849,994,614,625,0,149,787,531,787,531,0,149,0,149,0,149,0,149,97,108,566,360,261,218,672,461
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",36477,2394,31190,2352,26770,2113,4420,1431,3023,1396,669,447,728,343,212,236,212,236,0,149,0,149,0,149,0,149,69,76,794,336,2248,726,1964,745,20514,1568,16952,1485,13907,1437,3045,961,1980,903,594,436,471,277,212,236,212,236,0,149,0,149,0,149,0,149,40,44,576,276,1754,653,980,458,15963,1652,14238,1622,12863,1583,1375,665,1043,607,75,71,257,192,0,149,0,149,0,149,0,149,0,149,0,149,29,36,218,171,494,286,984,401
0500000US04005,04005,"Coconino County, Arizona",63740,3021,49420,3527,43050,3341,6370,1634,5108,1443,845,491,417,322,1133,577,1133,577,0,229,0,229,0,229,0,229,2276,879,6791,1810,926,640,3194,947,33980,2153,27176,2343,22858,2200,4318,1303,3722,1281,459,371,137,137,403,304,403,304,0,229,0,229,0,229,0,229,1189,662,3330,1346,474,344,1408,660,29760,1909,22244,1969,20192,1866,2052,716,1386,611,386,255,280,257,730,536,730,536,0,229,0,229,0,229,0,229,1087,488,3461,1115,452,599,1786,654
0500000US04013,04013,"Maricopa County, Arizona",1699623,15218,1485240,15761,1282781,17245,202459,9935,162787,9396,21464,3387,18208,3166,39362,4550,36482,4258,1747,1130,998,544,135,132,0,229,16197,2871,29166,4580,29898,3374,99760,7294,917180,10259,796520,11435,687823,11232,108697,6665,86422,6039,12248,2515,10027,2328,21006,3295,19294,3137,1204,798,447,354,61,100,0,229,12827,2786,13961,2276,20630,2787,52236,4849,782443,10917,688720,11382,594958,11397,93762,7087,76365,6796,9216,1817,8181,1756,18356,2583,17188,2446,543,470,551,401,74,87,0,229,3370,1039,15205,4037,9268,2258,47524,4039
